rank,name,uid,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,building.create,building.modify,building.delete,highway.create,highway.modify,highway.delete,waterway.create,waterway.modify,waterway.delete,amenity.create,amenity.modify,amenity.delete,landuse.create,landuse.modify,landuse.delete,natural.create,natural.modify,natural.delete
91,gscholz,109705,2791,95843,17692,64633,0,1554,11147,0,178,639,0,892,1249,0,573,2101,0,4,58,0,8,70,0,46,250,0,94,178,0
92,SherbetS,12163682,28,95161,1770,82447,0,9,10813,0,0,122,0,0,2,0,13,453,0,1,0,0,7,10,0,0,6369,0,1,343,0
93,joe2812,7549553,133,95058,42668,41680,0,4639,6069,0,0,2,0,4622,5401,0,20,392,0,0,8,0,1,125,0,0,90,0,0,13,0
94,UZ TAXI JIZZAX,17982212,103,93321,35035,41678,0,8702,7895,0,1,10,0,8537,66,0,4,110,0,0,1,0,0,3,0,0,8,0,0,0,0
95,Erwinvanw,4579915,282,91831,39178,44010,0,5104,3539,0,0,0,0,5104,1308,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0
96,Climbers High,4253564,24,90369,59098,20902,0,7528,2839,0,2,0,0,7514,673,0,14,110,0,0,9,0,0,3,0,0,11,0,0,4,0
97,UNGSC-mbranco2,10988498,68,90060,54151,30678,0,1925,2997,0,160,149,0,102,74,0,502,484,0,161,102,0,0,3,0,275,57,0,609,368,0
98,Mikhail Fall1n1,15192063,101,89284,74897,2654,0,11279,454,0,0,0,0,10466,11,0,807,379,0,0,1,0,1,3,0,2,26,0,0,1,0
99,GNR8,2171698,758,89215,69350,5752,0,12868,1239,0,0,6,0,12395,206,0,774,871,0,25,30,0,30,8,0,10,125,0,7,10,0
100,jptolosa,1975220,139,87652,50756,31805,0,1850,2937,0,123,181,0,653,63,0,1569,3889,0,14,86,0,4,28,0,61,70,0,95,143,0
