rank,name,profile,uid,changesets,map_changes,countries,editors,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
55,Zetel,https://www.openstreetmap.org/user/Zetel,6521619,5,790,Syrian Arab Republic,iD 2.21.1,0,377,340,0,72,1,0,0,0,0,0,0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""building"": 72}","{""building"": 1}","#hotosm-project-14311,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
56,DOPSS,https://www.openstreetmap.org/user/DOPSS,15741997,4,783,Syrian Arab Republic,JOSM/1.5 (18570 fr),1431,434,247,0,87,15,0,0,0,0,0,0,76.0,3.0,11.0,12.0,0.0,0.0,0.0,0.0,"{""building"": 76, ""source"": 20, ""highway"": 11, ""service"": 2}","{""highway"": 12, ""building"": 3, ""name"": 2, ""source"": 1, ""oneway"": 1}","#hotosm-project-14232,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps,#hotosm-project-14230",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
57,KingVik,https://www.openstreetmap.org/user/KingVik,7159298,8,771,Turkey,JOSM/1.5 (18678 en),6560,548,93,0,37,93,0,0,0,0,0,0,0.0,1.0,36.0,85.0,0.0,1.0,0.0,0.0,"{""highway"": 36, ""oneway"": 1, ""ford"": 1, ""layer"": 1, ""tunnel"": 1, ""source"": 1}","{""highway"": 85, ""source"": 43, ""oneway"": 6, ""landuse"": 6, ""surface"": 5, ""name"": 3, ""ref"": 2, ""bicycle"": 1, ""foot"": 1, ""horse"": 1, ""lanes"": 1, ""maxspeed"": 1, ""name:ar"": 1, ""ref:ar"": 1, ""intermittent"": 1, ""waterway"": 1, ""building"": 1, ""tracktype"": 1, ""bridge"": 1, ""layer"": 1}","#hotosm-project-14323,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey,#RoadsPilot",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
58,SSEKITOLEKO,https://www.openstreetmap.org/user/SSEKITOLEKO,7562542,7,756,Turkey,JOSM/1.5 (18646 en),0,464,166,0,101,25,0,0,0,0,0,0,101.0,21.0,0.0,3.0,0.0,0.0,0.0,1.0,"{""building"": 101}","{""building"": 21, ""source"": 8, ""highway"": 3, ""amenity"": 1, ""religion"": 1}","#hotosm-project-14233,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
59,gerardnienhuis,https://www.openstreetmap.org/user/gerardnienhuis,6235326,3,748,Syrian Arab Republic,iD 2.21.1,87,619,21,0,103,5,0,0,0,0,0,0,100.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,"{""building"": 100, ""highway"": 3}","{""building"": 3, ""highway"": 2}","#hotosm-project-14232,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
60,FantomEnterteinment,https://www.openstreetmap.org/user/FantomEnterteinment,3769018,5,745,"Syrian Arab Republic,Turkey","iD 2.21.1,RapiD 1.1.9-tm.1",7848,616,5,0,102,22,0,0,0,0,1,0,64.0,0.0,37.0,22.0,0.0,0.0,0.0,0.0,"{""source"": 85, ""building"": 64, ""highway"": 37, ""noexit"": 1, ""barrier"": 1}","{""highway"": 22, ""source"": 16, ""surface"": 2}","#hotosm-project-14245,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps,#hotosm-project-14262,#yercizenler,#turkiye,#turkey",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
61,Ries visser,https://www.openstreetmap.org/user/Ries%20visser,6088466,4,734,Syrian Arab Republic,JOSM/1.5 (18678 nl),2572,600,17,0,109,7,0,1,0,0,0,0,101.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,"{""building"": 101, ""source"": 12, ""highway"": 7, ""oneway"": 1, ""type"": 1}","{""landuse"": 5, ""highway"": 2, ""oneway"": 1}","#hotosm-project-14311,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
62,Natasha Rajpurohit,https://www.openstreetmap.org/user/Natasha%20Rajpurohit,17571739,8,724,Syrian Arab Republic,iD 2.21.1,725,593,0,0,127,3,0,1,0,0,0,0,125.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,"{""building"": 125, ""highway"": 1, ""type"": 1}","{""landuse"": 2, ""highway"": 1}","#hotosm-project-14311,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
63,JendaH,https://www.openstreetmap.org/user/JendaH,2721325,9,720,Syrian Arab Republic,JOSM/1.5 (18646 cs),246,324,310,0,71,15,0,0,0,0,0,0,69.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,"{""building"": 69, ""highway"": 2}","{""building"": 8, ""highway"": 4, ""landuse"": 2, ""man_made"": 1}","#hotosm-project-14232,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps,#hotosm-project-14311",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
64,ffff23,https://www.openstreetmap.org/user/ffff23,10888797,7,706,Turkey,RapiD 1.1.9-tm.1,3157,543,55,0,98,10,0,0,0,0,0,0,66.0,3.0,32.0,7.0,0.0,0.0,0.0,0.0,"{""building"": 66, ""highway"": 32, ""source"": 31}","{""highway"": 7, ""building"": 3, ""source"": 1}","#hotosm-project-14262,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
65,Oluwatobiloba_geo,https://www.openstreetmap.org/user/Oluwatobiloba_geo,10471994,15,702,Syrian Arab Republic,iD 2.21.1,3756,473,118,0,101,10,0,0,0,0,0,0,87.0,1.0,12.0,7.0,2.0,1.0,0.0,0.0,"{""building"": 87, ""highway"": 12, ""waterway"": 2, ""layer"": 2, ""tunnel"": 1}","{""highway"": 7, ""flood_prone"": 1, ""waterway"": 1, ""landuse"": 1, ""building"": 1}","#hotosm-project-14311,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
66,Anelmadhu,https://www.openstreetmap.org/user/Anelmadhu,18644237,9,691,Syrian Arab Republic,iD 2.21.1,1182,552,0,0,130,9,0,0,0,0,0,0,81.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,"{""building"": 81, ""highway"": 7}","{""highway"": 4, ""landuse"": 4, ""source"": 2, ""int_ref"": 1, ""oneway"": 1, ""ref"": 1, ""admin_level"": 1, ""boundary"": 1}","#hotosm-project-14311,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
