rank,name,uid,changesets,map_changes,countries,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags
37,Eduard Rene,18240622,14,3967,"Kenya,United Republic of Tanzania",2383,480,789,247,2,66,0,0,0,0,0,247,0,0,0,0,0,0,0,"{""building"": 247}","{""landuse"": 2}","#hotosm-project-13813,#hotosm-project-13988,#TanzaniaDevelopmentTrust,#Tanzania,#missingmaps"
38,Marvin de Hont,6616734,9,3893,South Africa,921,2541,205,156,44,26,0,0,0,0,0,156,44,0,0,0,0,0,0,"{""building"": 156}","{""building"": 44}","#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA,#buildings,#res-area-incorrect-removed"
39,Elyana IRM-ED,10910633,2,3727,Indonesia,883,1913,560,172,153,46,0,0,0,0,1,172,148,0,5,0,0,0,0,"{""building"": 172, ""source"": 1}","{""source"": 151, ""building"": 148, ""highway"": 5, ""noexit"": 1}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID"
40,Irfandi IRM-ED,17714747,7,3644,Indonesia,2788,151,31,660,13,1,0,0,0,0,0,658,3,2,10,0,0,0,0,"{""building"": 658, ""highway"": 2, ""addr:full"": 1, ""leisure"": 1, ""name"": 1, ""sport"": 1}","{""highway"": 10, ""building"": 3, ""import"": 1, ""source"": 1}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID"
41,Irma IRM-ED,13065690,7,3578,Indonesia,2740,171,7,644,16,0,0,0,0,0,0,643,13,1,3,0,0,0,0,"{""building"": 643, ""highway"": 1}","{""building"": 13, ""highway"": 3}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID"
42,Alex_DSt,18349674,23,3551,"Egypt,Central African Republic,Chad,South Sudan,Niger",2986,208,16,317,21,3,0,0,0,8,0,282,10,43,9,0,0,0,0,"{""building"": 282, ""highway"": 43}","{""building"": 10, ""highway"": 9, ""surface"": 5, ""source"": 3, ""lanes"": 2, ""name"": 2, ""name:ar"": 2, ""name:en"": 2, ""oneway"": 2, ""abandoned"": 1, ""natural"": 1, ""wetland"": 1, ""project:eurosha_2012"": 1, ""source:date"": 1}","#hotosm-project-14190,#missingmaps,#hotosm-project-12923,#hotosm-project-10468,#Silaregion,#Chad,#MSF,#MissingMaps,#hotosm-project-13599,#REACH,#JurRiver,#hotosm-project-14157,#msf,#IRSMagaria"
43,Aglis IRM-ED,8072046,4,3475,Indonesia,1058,1612,427,215,109,54,0,0,0,0,0,214,96,1,13,0,0,0,1,"{""building"": 214, ""highway"": 1}","{""building"": 96, ""highway"": 13, ""name"": 8, ""source"": 7, ""addr:full"": 3, ""access:roof"": 2, ""building:levels"": 2, ""building:roof"": 2, ""building:structure"": 2, ""building:walls"": 2, ""import"": 2, ""motorcar"": 1, ""motorcycle"": 1, ""surface"": 1, ""amenity"": 1, ""admin_level"": 1}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID"
44,mael colas,9518917,13,3474,Mali,3087,5,4,376,1,1,0,0,0,0,0,376,1,0,0,0,0,0,0,"{""building"": 376}","{""building"": 1}","#hotosm-project-13816,#CartONG,#MissingMaps,#Arcade,#DEMBELA,#Mali"
45,Rizky IRM-ED,9421521,3,3438,Indonesia,1797,1075,80,363,121,1,1,0,0,0,0,362,117,1,4,0,0,0,0,"{""building"": 362, ""highway"": 1, ""import"": 1, ""source"": 1, ""type"": 1}","{""building"": 117, ""highway"": 4, ""import"": 1, ""source"": 1}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID"
46,Binisha21,17827219,21,3423,Nepal,1771,223,949,280,117,83,0,0,0,0,0,266,0,6,9,0,5,0,0,"{""building"": 266, ""highway"": 6, ""landuse"": 5, ""natural"": 3}","{""landuse"": 67, ""natural"": 38, ""highway"": 9, ""waterway"": 5, ""water"": 3, ""ref"": 2, ""name"": 1, ""name:en"": 1, ""ref:old"": 1, ""surface"": 1, ""source"": 1}","#hotosm-project-13390,#BIPAD,#YILAB,#BenighatRorangRuralMunicipality,#DigitalVolunteers"
47,Kathryn Branham,15010341,12,3420,South Africa,2367,232,396,337,7,81,0,0,0,0,0,337,6,0,1,0,0,0,0,"{""building"": 337}","{""building"": 6, ""highway"": 1, ""name"": 1, ""surface"": 1}","#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA"
48,Greystoke69100,13032226,3,3104,Zambia,2113,510,256,151,11,63,0,0,0,1,0,118,7,33,3,0,1,0,0,"{""building"": 118, ""highway"": 33, ""surface"": 33, ""ford"": 1}","{""building"": 7, ""highway"": 3, ""surface"": 3, ""intermittent"": 1, ""seasonal"": 1, ""waterway"": 1}","#hotosm-project-13296,#zambia-census,#salesforce"
49,Erwinvanw,4579915,9,3079,South Africa,2178,85,393,340,2,81,0,0,0,0,0,340,2,0,0,0,0,0,0,"{""building"": 340, ""layer"": 13}","{""building"": 2}","#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA"
50,JohnW11,8285929,6,3073,Chad,1543,969,96,248,192,25,0,0,0,0,0,239,185,9,6,0,0,0,1,"{""building"": 239, ""highway"": 9}","{""building"": 185, ""highway"": 6, ""amenity"": 1, ""landuse"": 1, ""name"": 1}","#hotosm-project-10468,#Silaregion,#Chad,#MSF,#MissingMaps"
51,yohan_g,13775628,21,3028,Mali,2590,15,5,404,13,1,0,0,0,0,0,404,8,0,4,0,0,0,0,"{""building"": 404, ""layer"": 3}","{""building"": 8, ""highway"": 4, ""surface"": 4, ""landuse"": 1}","#hotosm-project-13816,#CartONG,#MissingMaps,#Arcade,#DEMBELA,#Mali"
